"id","like_cats","like_dogs","have_desert","slogan","fav_day","larkORowl","fav_food","fav_drink","fav_season","fav_month","hobby","program","specialization","stat_software","R_exp","coding_comfort","coding_length","top_three","public_health_interest","fav_num","bday","bmonth","country","state","city","highest_educ_level","bday_clean","bmonth_clean","bseason","star_sign"
1,"Yes","Yes","My phone ofc","""Living with purpose, leaving with meaning.""","Friday","Lark ( I am a morning person)","Injera with anything :-) (  it's an Ethiopian soft Traditional bread)","Fanta","Spring","June","chess","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months","1. Code better
2. Application in a real-world scenario
3. How to interpret my analysis better for different audience","Health Insurance and Nutrition.",28,"10","6","Ethiopia","Addis Ketema","Addis Ababa","Bachelor's degree",10,6,"Summer","Gemini"
2,"No","Yes","Bible","Every moment is a new beginning!","Saturday","Hummingbird (I am neither a lark nor an owl)","Stake","Coffee","Fall","September","Watching football","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months","Use R comfortably, start coding confidently, and apply advanced methods to real data","Oncology",1,"13","3","USA","MO","St. Louis","Bachelor's degree",13,3,"Spring","Pisces"
3,"No","Yes","Bible","Work hard, Play Hard","Thursday","Lark ( I am a morning person)","Ethiopian Cusine-Doro Wot is my favourite","Coffee","Fall","September","Soccer","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months","Coding,data analysis in a very great detail","cancer",7,"18","6","Ethiopia","Addis Ababa","Addis Ababa","Bachelor's degree",18,6,"Summer","Gemini"
4,"Ambivalent","Yes","atmospheric water generator",NA,"Friday","Hummingbird (I am neither a lark nor an owl)","Steak Sandwich with chimichurri","Tequila lol Im jk I would say Ginger Ale","Spring","May","Language Learning","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months","All the necessary skill set to be able to handle and interact with biostatisticians as part of a research team, such as improving my R skills and and learn a bit about how to handel complex regression models.","Cancer",3,"5","Septemeber","Ethiopia","Addis Ababa","Addis Ababa","Doctoral degree",5,9,"Fall","Virgo"
5,"No","Ambivalent","Water","Thanks to God for his indescribable gifts","Saturday","Owl (I am a night person)","Chopped meat","Water","Fall","May","Soccer","MPH only","Epidemiology/Biostatistics","SPSS",1,2,"0-3 months","Coding, R Studio, and Analysis","Non communicable disease and quality of healthcare delivery",17,"13","5","Ethiopia","Addis Ababa","Addis Ababa","Master's degree",13,5,"Spring","Taurus"
6,"No","Yes","Phone Network","Faith over Fear","Saturday","Owl (I am a night person)","Ethiopian food (Enjera+Doro Wot). M mom makes it the best.","Vanilla Milkshake","Fall","August","Reading","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"4-6 months","Being familiar with different databases, choosing the right statistical tool for data analysis, getting more familiar with coding in R and be proficient in data analysis","Cancer",7,"June 2nd","June","Ethiopia","Addis Ababa","Addis Ababa","Bachelor's degree",2,6,"Summer","Gemini"
7,"Yes","Yes","Matches","Live every moment to the fullest.","Saturday","Hummingbird (I am neither a lark nor an owl)","Pizza","Coffee","Spring","May","Reading","MPH only","Epidemiology/Biostatistics","SPSS",3,3,"9 months to 1 year","I hope to gain an overall greater proficiency in R, learn how to effectively translate statistical results and theories into public health actions, and learn to create more complex data visualizations in R.","Chronic disease prevention and community health",29,"1","5","United States","Kansas","Baldwin City","Bachelor's degree",1,5,"Spring","Taurus"
8,"No","Yes","Wings","To neglect good is to commit evil.","Thursday","Owl (I am a night person)","Guacamole","Water","Spring","December","working-out","MPH/MBA","Epidemiology/Biostatistics","R",3,3,">1 to 2 years","Better understanding of coding","Heart disease",5,"6","4","Ethiopia","South","Hawassa","Bachelor's degree",6,4,"Spring","Aries"
9,"Yes","Yes","Solar charged battery","Just start","Monday","Lark ( I am a morning person)","Pasta","Mango smoothie","Spring","June","Running","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months","How to apply statistics to real life problems","Clean energy",7,"17","6","US","MO","St.Louis","Bachelor's degree",17,6,"Summer","Gemini"
10,"Yes","No","Quran",NA,"Monday","Owl (I am a night person)","Kitfo","Water","Spring","August","Soccer","MPH only","Epidemiology/Biostatistics","SPSS",3,3,"0-3 months","Code","Cardio",1,"20","11","Ethiopia","Debub hizboch","Worabe","Bachelor's degree",20,11,"Fall","Scorpio"
11,"Yes","Yes","Umbrella","Sweet treats after meal have zero calories","Saturday","Owl (I am a night person)","Chicken biryani","Mango juice","Spring","November","Table tennis","MPH only","Epidemiology/Biostatistics","SPSS",2,1,"0-3 months","Coding independently","Cancer",7,"30","11","Pakistan","Khyber Pakhtunkhwa","Chitral","Bachelor's degree",30,11,"Fall","Sagittarius"
12,"No","Ambivalent","Water","I keep my eye on the things far above","Monday","Hummingbird (I am neither a lark nor an owl)","Jollof rice and Salad","Fruit Juice","Spring","January","Playing Lawn Tennis","MPH only","Epidemiology/Biostatistics","SPSS",2,1,"0-3 months","SAS, Advanced Analysis and Coding","None",1,"1","1","Nigeria","Anambra","Nanka","Doctoral degree",1,1,"Winter","Capricorn"
13,"Ambivalent","Yes",NA,NA,"Saturday","Hummingbird (I am neither a lark nor an owl)","Mahiberawi(Ethiopian Food)","Water","Fall","September","Watching Movies","MPH only","Epidemiology/Biostatistics","SPSS",2,2,"0-3 months",NA,"Cancer",4,"28","3","Ethiopia","Addis Ababa","Addis Ababa","Bachelor's degree",28,3,"Spring","Aries"
